Unique Title to Describe Different Product,SKU / UPC,Variation Title,Cost,External Price,Category ID,Amazon Link,eBay Link,AliExpress Link
Langsdom Wireless Headphones Bluetooth 5.0 Sports Magnetic Earbuds,X002911LMF,9 Hours Playtime 3 EQ Setting Noise Cancel Black,3.5,25.99,80077,https://www.amazon.com/Langsdom-Headphones-Bluetooth-Earphones-Waterproof/dp/B07V6NQGXK/ref=sr_1_6?crid=1YMF7UYFR8BAD&keywords=langsdom+wireless+earphones&qid=1565395081&s=gateway&sprefix=longslom+wireless+e%2Caps%2C182&sr=8-6,https://www.ebay.com/itm/Langsdom-Wireless-Headphones-Bluetooth-5-0-Sports-Magnetic-Earbuds-HD-Audio-9-Ho/183914296694?hash=item2ad2257576:g:VU0AAOSwLjhdTI8n,
TROGONIC TE1 Bluetooth 5.0 IPX5 Mini Waterproof Bluetooth Earbuds ,X002456WLL,"35H Playtime, Deep Bass, Noise Cancelling",3.5,39.95,80077,https://www.amazon.com/Wireless-TROGONIC-Bluetooth-Playtime-Cancelling/dp/B07QG54241/ref=sr_1_1_sspa?crid=1KB85SUO12WH1&keywords=trogonic+wireless+bluetooth+earbuds&qid=1565395579&s=gateway&sprefix=troginic%2Caps%2C188&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzSldFVzFDQVBZUDdWJmVuY3J5cHRlZElkPUEwNTYxMTg0MUtRVDBHRENKOVgzMiZlbmNyeXB0ZWRBZElkPUEwNzM1MzYzVTFNVEtQWVVEOUVMJndpZGdldE5hbWU9c3BfYXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,https://www.ebay.com/itm/Wireless-Earbuds-TROGONIC-TE1-Bluetooth-5-0-IPX5-Wireless-Bluetooth-Earbuds/383049018995?_trkparms=ispr%3D1&hash=item592f802e73:g:m9wAAOSwrVddKqBj&enc=AQAEAAAB4BPxNw%2BVj6nta7CKEs3N0qUVrjpaifKMlmayxChyU2O0QxLqeImgTWJJ0QgBR772HGM%2BJA86mAQPCQfqWQM8kWxtIIxg4bYsHj%2F%2BVqGCoUCSwBTZbwr8xBdYh5YR3XEE%2BwAgg%2FzUIgSa5eXRyGCFjI9tkpb%2Bm5WM0V7i4yxxWqfhaN0TEINPhkTEkGMbosxa1EYXM%2Bzz3JJjLjf%2BsT518NbruLCFNskMcrmCNotY7j%2FbzTfuggVsaCrA6wels1UPod1lNJMJ0xAMsJ8y3cB5MvhTA2%2BhRl%2BsEPgit6%2FRscftZYDjz%2F9S5NV75TR8L%2BAUrN%2FB65GAbv%2F1RzUnUljq799wSOUyNC1NYKQenwdwAwoutIeWHgrnkkUraQ6xdhyDV864FwR8%2F2XVI%2FmC1H%2FkYlUSVWcDeMfBCo3o4AxbL1NZ1Ko5EkPAdeM1q85Sh%2B7PJDVJ5UOyu3k6miJnXBfLDt04OJ5GLZYg1hQT1cBoeTtJAwavbVHL3XbFjBnh6g8mIKX5wUdkPAQJHVGLAizUUF%2BTrW3nsY8qPX7IwNNtwlKz6qyriS4M3xWjZ5UkMBR8EDMDbJYauvzCtsCZ5AceIL0fHcRCxSG8M3jJdWSR5Jz9Wk0zynYv7mNiJp4xbvt2Aw%3D%3D&checksum=383049018995ef8ab6559f154fa0a276e9a4c0dee1ec,
Lintelek Fitness Tracker - Sport Pedometer Odometers Color Screen Watch with Heart Rate Blood Pressure,X002923QKT,Smart Bracelet Gift for Kids Women and Men,3.5,59.99,179798,https://www.amazon.com/dp/B07V5TPBYB/ref=cm_sw_r_oth_api_i_0SGtDbFCHH9CP,https://www.ebay.com/itm/Lintelek-I3HR-Smart-Band-Wrist-Fitness-Tracker-Blue/264371957913?hash=item3d8dcbf099:g:rfYAAOSwS8tdDavN,
"DKSPORT Fitness Tracker HR, Activity Tracker Watch with Heart Rate Monitor",X0026IBY4L,Sleep Monitor Calorie Counter Pedometer,3.5,29.99,179798,https://www.amazon.com/DKSPORT-Activity-Resistant-Bracelet-Pedometer/dp/B07RXSY1CK/ref=sr_1_3?keywords=DKSport+Fitness+Tracker&qid=1565396147&s=sporting-goods&sr=1-3,https://www.ebay.com/itm/DKSPORT-Fitness-Tracker-HR-Activity-Tracker-Watch-with-Heart-Rate-Monitor-I/273918947514?hash=item3fc6d770ba:g:ZSoAAOSwkTVdIVjz,
Fitness Activity Tracker CatShin CS06 Fitness Tracker Watch Band,X0023XXBH7,1.22inch IP68 150mAh (20 days standby),3.5,34.99,178893,https://www.amazon.com/Activity-CatShin-Preasure-Waterproof-Pedometer/dp/B07QC6DDZ5/ref=sr_1_1?keywords=catshin+tracker&qid=1565396515&s=sporting-goods&sr=1-1,https://www.ebay.com/itm/Waterproof-Activity-Tracker-IP68-CatShin-CS06-Fit-Smart-Watch-with-Heart-Rate/273953186299?hash=item3fc8e1e1fb:g:M9YAAOSwuyNdQ~lN,
"Mgaolo Fitness Tracker HR,Activity Tracker Waterproof Smart Watch Wristband",X0022YY7VB,Heart Rate Blood Pressure Sleep Monitor ,3.5,35.98,179798,https://www.amazon.com/Mgaolo-Activity-Waterproof-Wristband-Pedometer/dp/B07NQ528T6/ref=sr_1_1_sspa?keywords=mgaolo+fitness+tracker&qid=1565396951&s=sporting-goods&sr=1-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyVVVRT1RZMDdCQVhMJmVuY3J5cHRlZElkPUExMDQ4MDUzMzRLU0tZM0taWjdXVCZlbmNyeXB0ZWRBZElkPUEwNjYwMDM4MlBNMTJQVFJZVzdFSSZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,https://www.ebay.com/itm/Mgaolo-Fitness-Tracker-Hr-Activity-Tracker-Waterproof-Smart-Watch-Wristband-New/223546864411?_trkparms=ispr%3D1&hash=item340c6e731b:m:mCVHGrORyyb0xww5VDcmODw&enc=AQAEAAAB4BPxNw%2BVj6nta7CKEs3N0qWypRKQGmkUSE86yfDnvhe1c4rTsWZwdgXt%2Fk%2F%2F1GTVkGqQ47V0CTVK8dERziRF6P719V9j%2FHrRU%2B6nAwYVATgLeHI9tIqX33PNSfHzxlzt7p0EYLhUHwrxT%2BstgDlSRT2lEykTqpuXerNTUCneu6xKJfyxPJsb9mQhs3RNl73yQE1u2PJhBRMUu%2F%2B1eUlBJMhu5ssqkbYrn9nAa1vD1TmDhLpJ3eOt4Mnxkps7o433dJFlRuF3OfC%2FEP76SFZVZcbWaYObxKRbDaO26Nx7q5gdL2VrklybiQYrmmCeJs%2FdMzC4cgzYNxde6b6boscgR5nFfHXIPKL4XUI89sQl3vOr7tmMMRNBqFpBedh9E4nWsFPcaTQtNjAMb3nLuSKZBrDjqxRzuwuMaVHuEDwTkVK%2BwYGW8z4XaosDpQpIwfdkN0%2F%2FvX9uSf2XNc3iNoHMmH5A89%2FCZpxSurXqfw4byWy%2F0mbuY6A979TtUtfNL4ez4U5eNznBql4qxkMlZ9fa3X7QM1QTzbeLhy6CryimQ%2F3PCE490IwEMYI%2B9imk8gIrYMnlSNiC8Ww6Xa7ZJ%2Bqbhc%2F1O7Di8OlDEM5TbXXJj4j0WkYs46jRBrbkeUh66gCXhg%3D%3D&checksum=223546864411edb433c3dcd74281920b3613315a027a,
"Kuulaa M17 Earphones Wired in Ear, Full Metal Stylish",X0026ZF2UB,"3.5mm Jack, Hi Res Stereo Deep Bass",3.5,12.99,112529,https://www.amazon.com/Kuulaa-Comfortable-Microphone-Headphones-Samsung-Red/dp/B07SD9XCNF/ref=sr_1_1?keywords=Kuulaa+M17+Hi+Res+Stereo&qid=1565397941&s=sporting-goods&sr=8-1,https://www.ebay.com/itm/M17-Earphones-Wired-in-Ear-Full-Metal-Stylish-and-Comfortable-Earbuds-with-Micr/362707498944?hash=item54730d37c0:g:FT4AAOSwC4FdN5Gj,
"LETSCOM Fitness Tracker with Heart Rate Monitor, Slim Sports Activity Tracker Watch",X001S0RZZZ,"Smart Connectivity, Premium Design",3.5,29.99,179798,https://www.amazon.com/LETSCOM-Fitness-Activity-Waterproof-Pedometer/dp/B07D1193YB/ref=sr_1_8?keywords=Letscom+Fitness+TRacker&qid=1565398231&s=gateway&sr=8-8,https://www.ebay.com/itm/Letscom-Fitness-Tracker-HR-Activity-Watch-Heart-Rate-Slim-Band-ID115UHR/193027862642?_trkparms=ispr%3D1&hash=item2cf15b7072:m:mPJfxQTBmtRzUUphK3IMNvw&enc=AQAEAAAB4BPxNw%2BVj6nta7CKEs3N0qVg%2Faq46BWNYK8assL97LE%2BLmCzqtR1l0rJYsyW377QoSC6iF7Z63OSVJ6J1erVzdHwNddwQ8iljOMxzj5q6GLhTVObCzRCpv5ZRzESf34XRizEVOq2RuELd98JYUivPYwvKpmfTBOR90EccufhB5h1ynBbu0gULuOpD1Sqg%2Fpcrb5QO7dPao6JriQDrQJ%2FhKaVsWGs%2FXnpAdoLUZK9QuLGcCOfehQ%2Fj4Vv8ckzTJWQRgG6KZGeowtpDRquEzOa6JjhkRim%2BM8tfeXe3zyUFxGuNeJYDm2LvKUWmINnIqQFb1hCJbHL4usOlTxbR1f1lSlPWPqlXxSl8Tgu0zaiJjoHzYJlOy5hitrnBe7XxmiVNS%2BxLeJwLwMXCV8B3NLk2fnSifa2%2BT3M0byPudjZIOAfieiUSQ0ijlRX%2F%2F22HzoimSSN9607eWKbq2lidgxQngu8%2BPr3EOwyzIqQ9AGYp1HiH7oZPv7P8qrauxBLDIlzSkYdhQrv0dgW2lAM31fcsi75albH8pFC4VDbPqg5mLVwwZEEqn8q8dgJh9u0bwT13j1UoSrakbFFQBsXrB060e0fug5XVxdoGuIojKni055CgD5UV%2F8y1Fl4xMnth0NAUA%3D%3D&checksum=1930278626429443df11cad040dd9e0b568b33cc9564,
Evach Active Stylus Digital Pen with Ultra Fine Tip Stylus,6.15E+11,"Drawing Stylus Pen, White",3.5,36.99,176981,https://www.amazon.com/Digital-Compatible-Samsung-Capacitive-Touchscreen/dp/B07528YXC1/ref=sr_1_3?crid=5EJOJNSPQS7O&keywords=evach+active+stylus+digital+pen&qid=1565398545&s=gateway&sprefix=Evach+%2Caps%2C195&sr=8-3,https://www.ebay.com/itm/Evach-Active-Stylus-Digital-Pen-1-5mm-Ultra-Fine-Tip-iPad-iPhone-Samsung-Tablets/173870547532?epid=28022843293&hash=item287b7e024c:g:lqIAAOSwRE9brUQ-:sc:USPSFirstClass!91755!US!-1,"https://www.aliexpress.com/item/32997369424.html?spm=a2g0o.productlist.0.0.404d4774jSyGPc&algo_pvid=a246b8b6-fcf0-42e7-af6d-75df6a10894c&algo_expid=a246b8b6-fcf0-42e7-af6d-75df6a10894c-0&btsid=d8fc046c-cb27-4577-8a75-eb37ddeb63d6&ws_ab_test=searchweb0_0,searchweb201602_9,searchweb201603_52"
Blood Pressure Monitor for Upper Arm - Accurate Digital Automatic BP Monitor for Home Use with Large Display and Portable Cuff,X0020AJPCD,"Clinically Accurate, 240 Mode & 2 Users Mode",3.5,27.99,75072,https://www.amazon.com/Blood-Pressure-Monitor-Upper-Arm/dp/B07NPB49RY/ref=sr_1_3?keywords=Lovia+Blood+Pressure+Monitor&qid=1565399886&s=gateway&sr=8-3,https://www.ebay.com/itm/Blood-Pressure-Monitor-For-Upper-Arm-Accurate-Digital-Automatic-BP-Home-Use/123869597709?hash=item1cd734100d:g:6ewAAOSwfbJdTc80,
