city,admin_name,country
Kingoonya,South Australia,Australia
Port Denison,Western Australia,Australia
Cairns,Queensland,Australia
Kwinana,Western Australia,Australia
Cranbourne,Victoria,Australia
Port Hedland,Western Australia,Australia
Port Lincoln,South Australia,Australia
Port Macquarie,New South Wales,Australia
Port Pirie,South Australia,Australia
Portland,Victoria,Australia
Proserpine,Queensland,Australia
Busselton,Western Australia,Australia
Caboolture,Queensland,Australia
Cooma,New South Wales,Australia
Streaky Bay,South Australia,Australia
Sunbury,Victoria,Australia
Sydney,New South Wales,Australia
Karumba,Queensland,Australia
Esperance,Western Australia,Australia
Exmouth,Western Australia,Australia
Forbes,New South Wales,Australia
Morawa,Western Australia,Australia
Moree,New South Wales,Australia
Katherine,Northern Territory,Australia
Katoomba,New South Wales,Australia
Launceston,Tasmania,Australia
Laverton,Western Australia,Australia
Leeton,New South Wales,Australia
Leonara,Western Australia,Australia
Seymour,Victoria,Australia
Singleton,New South Wales,Australia
Newcastle,New South Wales,Australia
Norseman,Western Australia,Australia
Batemans Bay,New South Wales,Australia
Bathurst,New South Wales,Australia
Griffith,New South Wales,Australia
Whyalla,South Australia,Australia
Wilcannia,New South Wales,Australia
Katanning,Western Australia,Australia
Bongaree,Queensland,Australia
Bordertown,South Australia,Australia
Boulia,Queensland,Australia
Bourke,New South Wales,Australia
Mackay,Queensland,Australia
Southern Cross,Western Australia,Australia
Ulladulla,New South Wales,Australia
Victor Harbor,South Australia,Australia
Andamooka,South Australia,Australia
Hervey Bay,Queensland,Australia
Gunnedah,New South Wales,Australia
Gympie,Queensland,Australia
Halls Creek,Western Australia,Australia
Hamilton,Victoria,Australia
Winton,Queensland,Australia
Mudgee,New South Wales,Australia
Ivanhoe,New South Wales,Australia
Pannawonica,Western Australia,Australia
Dubbo,New South Wales,Australia
Tom Price,Western Australia,Australia
Parkes,New South Wales,Australia
Sale,Victoria,Australia
Bendigo,Victoria,Australia
Berri,South Australia,Australia
Adelaide,South Australia,Australia
